station,latitude_zone,model,mae,rmse,r2,corr,mape
JR055,N_mid,ElasticNet,0.9585601592352453,1.1313511012530486,0.14010956986958645,0.8658730940435384,19.140206744866173
JR055,N_mid,LinearRegression,3.8379349676647347,4.972862503937944,-144.16225226120827,0.743473778395326,78.94973978439906
JR055,N_mid,RandomForest,0.7462865843984747,0.9064649847340214,0.5030696478541979,0.9098641704449881,14.379730784182497
JR055,N_mid,XGBoost,0.7462179689861128,0.9086973016842625,0.5139889752881365,0.9084903695168242,14.3725631907513
LL721,Low,CatBoost,1.2660833228593882,1.5636734108168642,0.6967568107672507,0.9061139478903871,16.75135352459272
LL721,Low,ElasticNet,1.7114755182346886,2.0985245847225857,0.0781571596134123,0.8732983971624368,22.990780652189585
LL721,Low,LinearRegression,6.054890434895674,7.785200629701279,-47.77711054603033,0.7376828228658995,80.38237555194378
LL721,Low,RandomForest,1.2525902354665133,1.5653743738724655,0.6837844031041727,0.9003013103883839,15.961678888032711
LL721,Low,XGBoost,1.2820451283730183,1.6007647936617726,0.6701862761753924,0.8972940129221029,16.350384386854806
LM42B,Low,CatBoost,0.8538899125352087,1.0337213357602977,0.636600180866266,0.9317936068025335,12.299386568232364
LM42B,Low,ElasticNet,1.0955511112984222,1.3087355266545713,0.28986565618363874,0.9036126877076696,15.980609937916684
LM42B,Low,LinearRegression,4.391701852100136,5.6267217286706455,-38.01705428313629,0.7472998777948121,64.36343016010025
LM42B,Low,RandomForest,0.861509417389581,1.0554453496440979,0.598356965064414,0.9210277583158769,12.033117413648343
LM42B,Low,XGBoost,0.871337101636379,1.0654146398859525,0.5914708524545255,0.9194526543798119,12.22951888905623
MHJ45,N_mid,CatBoost,0.9432481120557082,1.1267394475225045,0.3726747636583522,0.8674859990919903,16.109932628476272
MHJ45,N_mid,ElasticNet,1.2832669076457404,1.504881085969648,-0.41691746706170923,0.8040594679601141,22.131242843202283
MHJ45,N_mid,LinearRegression,4.8841270625465505,6.217291714963725,-126.07155404280789,0.6761015744479971,83.85320888313356
MHJ45,N_mid,RandomForest,0.9218956021748086,1.1108809762823644,0.3548448060595395,0.8610411662761306,15.36577594927925
MHJ45,N_mid,XGBoost,0.9439769044591361,1.13819683243616,0.3155416703808088,0.8534183431142669,15.715784171344888
ND61R,Low,CatBoost,1.2521336771374436,1.5272067512767409,0.3665976722261071,0.8831545919703744,13.911721051242468
ND61R,Low,ElasticNet,1.8269339521682117,2.1980988089185867,-1.014986080398148,0.8140240980958989,20.119261574559253
ND61R,Low,LinearRegression,6.736008350058643,8.568044438005487,-68.91235479382156,0.6720876461211128,80.95282503397789
ND61R,Low,RandomForest,1.2938676632160067,1.5969456303815448,0.4029702009919421,0.8653013339363917,13.892437187646799
ND61R,Low,XGBoost,1.2923510661258917,1.58923751208845,0.32839616370503977,0.8695333932063782,13.945212152400064
NI135,N_mid,CatBoost,0.7795116172785097,0.9698080011711089,0.5771692379898974,0.8983717694014144,11.71129729283475
NI135,N_mid,ElasticNet,0.984281357130115,1.2352769790336195,-0.05006095946798231,0.8630034820149414,15.470991163707154
NI135,N_mid,LinearRegression,4.9531780324147565,6.737845193597319,-199.85729058403388,0.7393733739902318,87.55941970678803
NI135,N_mid,RandomForest,0.7682120911427552,0.960634247135347,0.5735841980547635,0.8897377911304114,11.426215508753923
NI135,N_mid,XGBoost,0.7836671238659674,0.9817998642184604,0.5415384185218263,0.8847032500662863,11.616326155516315
NI63,Low,CatBoost,0.8049021053374878,0.9840815120876185,0.40921507060035817,0.8394854422818597,10.947629081764799
NI63,Low,ElasticNet,1.1612553501478056,1.402502282813115,-0.49983646814268556,0.7513291417413291,15.767342139721976
NI63,Low,LinearRegression,3.6780970002549673,4.646473793058788,-45.34306783344802,0.643317573158638,50.85567966207331
NI63,Low,RandomForest,0.8476992824234181,1.0430434722182476,0.28300590295868977,0.8069448875018584,11.324265962883299
NI63,Low,XGBoost,0.840604970511613,1.0339418715783317,0.3168892515649121,0.8115632265923934,11.271714646088821
PA836,N_mid,CatBoost,0.8550639947654132,1.037547830130519,0.6097154075552349,0.9003821752460738,13.291499687695659
PA836,N_mid,ElasticNet,1.1945477086016256,1.4223688413384357,-0.05749225972638579,0.8616254793345631,19.26979974236741
PA836,N_mid,LinearRegression,6.214780570906978,7.535821073992309,-267.286675207639,0.734549545188307,105.88792107183797
PA836,N_mid,RandomForest,0.8388819214414125,1.0421533823934108,0.5757167087013084,0.8906059270669111,12.796392315825189
PA836,N_mid,XGBoost,0.8501716700215881,1.0524819447591303,0.572004734882683,0.8861821726743284,12.95425174320717
PE43K,S_mid,CatBoost,0.8292747946779155,0.9987510486960227,0.258458790201375,0.9076353067950039,13.17645969694663
PE43K,S_mid,ElasticNet,1.1718599412552222,1.400801939866759,-0.8173606396601122,0.8455919048350093,18.536070460142042
PE43K,S_mid,LinearRegression,3.491624713977909,4.494211721534626,-46.80428856360677,0.7261851231692754,56.289300891324714
PE43K,S_mid,RandomForest,0.8489878258783431,1.0358648113107407,0.13814285924828631,0.8902479198134255,13.216035076547902
PE43K,S_mid,XGBoost,0.8476095881849202,1.0318437526678024,0.13528144436379969,0.892300945421134,13.255320693655273
PQ052,N_mid,CatBoost,0.7437324295192529,0.8984475321186746,0.5301974463514485,0.9191564967440652,12.910424476298466
PQ052,N_mid,ElasticNet,0.9373742694455925,1.1170815122444024,0.05770356604172752,0.8661005283829605,16.47475073510579
PQ052,N_mid,LinearRegression,3.2066668638234668,4.095299401294545,-114.31547187930605,0.7572949841264642,59.099650431775636
PQ052,N_mid,RandomForest,0.7457102018195835,0.9071858146858826,0.4854588659410923,0.9099478602780096,12.771042893268085
PQ052,N_mid,XGBoost,0.7463753412470578,0.9100888137974231,0.4878868594729826,0.9086865737845469,12.823081404339138
SO148,N_mid,CatBoost,0.7730055224304303,0.9324294886972095,0.48333299784188044,0.9056586024957501,12.8140583621675
SO148,N_mid,ElasticNet,1.0447789287512868,1.2366682967989593,-0.19165302612724489,0.8409883024317665,18.21410711637564
SO148,N_mid,LinearRegression,4.3752677539249945,5.858406718892892,-475.2348096279496,0.73068361898324,78.73141568402092
SO148,N_mid,RandomForest,0.7670414568056416,0.9363009697025165,0.42759209257659714,0.8935717142603103,12.563341787595105
SO148,N_mid,XGBoost,0.7743288532042797,0.9442787709681593,0.42356667895980504,0.8894262432460391,12.691373409269337
THJ76,N_high,CatBoost,0.8497934526520456,1.0339829365667537,-0.47514428151550164,0.3495752353901971,19.412953109107175
THJ76,N_high,ElasticNet,1.0629932284299863,1.2789430821292362,-1.8297101484630909,0.21762619240523096,24.37263129379364
THJ76,N_high,LinearRegression,4.1368024912911485,5.368678324583619,-203.10138864310278,0.2220698095682039,93.18352658801813
