station,country,location,system_type,latitude,longitude,longitude_180,build_date,giro_link,metadata_source
CGK21,Brazil,Campo Grande,DPS4D,-20.5,305.0,-55.0,2011-11,https://giro.uml.edu/ionoweb/?station=CGK21,LDI station list
CO764,USA,"College, AK",DISS,64.9,212.0,-148.0,1989,https://giro.uml.edu/ionoweb/?station=CO764,LDI station list
CS31K,Australia,Cocos Island,,-12.18,96.83,96.83,,https://giro.uml.edu/ionoweb/?station=CS31K,manual: ISWI/SWS catalogue
CS999,USA,"Colorado Springs, CO",NEXION,38.83,255.18,-104.82,2011-03,,LDI station list
DB049,Belgium,Dourbes,D256,50.1,4.6,4.6,1986,,LDI station list
DH224,UAE,Al Dafra,NEXION,24.24,54.58,54.58,2021-07,https://giro.uml.edu/ionoweb/?station=DH224,LDI station list
DV36Q,Antarctica,Davis Base,DPS4,-68.6,78.0,78.0,1994,,LDI station list
DW41K,Australia,Darwin,,-12.45,130.95,130.95,,https://giro.uml.edu/ionoweb/?station=DW41K,manual: SWS/ASWFC catalogue
EA036,Spain,El Arenosillo,D256,37.1,353.3,-6.699999999999989,1993,https://giro.uml.edu/ionoweb/?station=EA036,LDI station list
EA653,USA,"Eareckson, AK",NEXION,52.73,185.92,-174.08,2016-07,https://giro.uml.edu/ionoweb/?station=EA653,LDI station list
EB040,Spain,Roquetes / Tortosa,D256,40.8,0.5,0.5,1986,https://giro.uml.edu/ionoweb/?station=EB040,LDI station list
EG931,USA,Eglin AFB,,30.5,-86.5,-86.5,,https://giro.uml.edu/ionoweb/?station=EG931,manual: DIDBase station list/search
EI764,USA,Eglin AFB,DISS,30.5,273.5,-86.5,1989,https://giro.uml.edu/ionoweb/?station=PRJ18,LDI station list
FF051,UK,Fairford,DISS,51.7,358.5,-1.5,1990,https://giro.uml.edu/ionoweb/?station=FF051,LDI station list
FZA0M,Brazil,Fortaleza,DPS4,-3.9,321.6,-38.39999999999998,2001-01,https://giro.uml.edu/ionoweb/?station=FZA0M,LDI station list
GA313,India,Gadanki,DPS4D,13.46,79.17,79.17,2013-10,https://giro.uml.edu/ionoweb/?station=GA313,LDI station list
GA762,USA,"Gakona, AK",DPS4,62.38,215.0,-145.0,1991,https://giro.uml.edu/ionoweb/?station=GA762,LDI station list
GM037,Italy,Gibilmanna,DPS4D,37.9,14.0,14.0,2021-11,https://giro.uml.edu/ionoweb/?station=GM037,LDI station list
GR13L,South Africa,Grahamstown,DPS4,-33.3,26.5,26.5,1996,https://giro.uml.edu/ionoweb/?station=GR13L,LDI station list
GSJ53,Canada,Goose Bay,D128PS,53.3,299.7,-60.30000000000001,1977,,LDI station list
GU513,USA,Guam,NEXION,13.62,144.86,144.86,2011-06,https://giro.uml.edu/ionoweb/?station=GU513,LDI station list
HA419,China,Hainan Is.,DPS4,19.4,109.0,109.0,2002,https://giro.uml.edu/ionoweb/?station=HA419,LDI station list
HE13N,South Africa,Hermanus,DPS4D,-34.42,19.22,19.22,2008-05,https://giro.uml.edu/ionoweb/?station=HE13N,LDI station list
HO54K,Australia,Hobart,,-42.92,147.32,147.32,,https://giro.uml.edu/ionoweb/?station=HO54K,manual: SWS/ASWFC catalogue
IC437,South Korea,Icheon,DPS4D,37.14,127.54,127.54,2023-09,https://giro.uml.edu/ionoweb/?station=IC437,LDI station list
IF843,USA,"Idaho National Lab, ID",DPS4D,43.81,247.32,-112.68,2011-11,https://giro.uml.edu/ionoweb/?station=IF843,LDI station list
IL008,Nigeria,Ilorin,DPS4,8.5,4.5,4.5,2005-09,https://giro.uml.edu/ionoweb/?station=IL008,LDI station list
IR352,Russia,Irkutsk,DPS4,52.4,104.3,104.3,2002,https://giro.uml.edu/ionoweb/?station=IR352,LDI station list
JB57N,Antarctica,Jang Bogo,,-74.62,164.23,164.23,,https://giro.uml.edu/ionoweb/?station=JB57N,manual: Jang Bogo dataset metadata
JI91J,Peru,Jicamarca,DPS4D,-12.0,283.2,-76.80000000000001,2024,,LDI station list
JJ433,South Korea,Jeju Island,DPS4D,33.43,126.3,126.3,2023-10,https://giro.uml.edu/ionoweb/?station=JJ433,LDI station list
JR055,Germany,Juliusruh,DPS4,54.6,13.4,13.4,1999,https://giro.uml.edu/ionoweb/?station=JR055,LDI station list
