station,parameter,n_overlap,mae_before_after,acf_similarity,acf_threshold_pass,dtw_distance_normalized,dtw_similarity,latitude,latitude_zone
DB049,fmin,68349,0.1264037293113249,0.9995226687209244,True,0.12781618329773178,0.8866693126144035,50.1,N_mid
DB049,foE,34691,0.09280274803122948,0.9999822620402959,True,0.07426029486935161,0.9308730898609793,50.1,N_mid
DB049,foF1,17026,0.21938332095608098,0.99433312676467,True,0.09636397783467501,0.912105851904224,50.1,N_mid
DB049,foF2,68349,0.22585837305181664,0.9999618912915526,True,0.04389184960765561,0.9579536427799945,50.1,N_mid
DB049,foF2p,68825,0.07705861501294847,0.9999975040512411,True,0.03531424224865531,0.9658903154157773,50.1,N_mid
DB049,hmF2,68349,8.842870384925645,0.9999182587431202,True,0.09379204141643906,0.914250572444301,50.1,N_mid
DW41K,MUF_D,53028,1.2031041686310378,0.9999849966039732,True,0.05809364572256414,0.9450959317661413,-12.45,Low
DW41K,fmin,67552,0.1320932727074921,0.9999839943258716,True,0.10086494817394917,0.9083766375328254,-12.45,Low
DW41K,foE,20224,0.09984032379021625,0.999882370919168,True,0.08578202915554332,0.9209951658324466,-12.45,Low
DW41K,foF1,14914,0.19940868479281215,0.9844275340092113,True,0.14256141887804805,0.8752264722731161,-12.45,Low
DW41K,foF2,64223,0.3904178287138886,0.9999942530240692,True,0.05716532088611468,0.9459258455071163,-12.45,Low
DW41K,hmF2,57026,9.926870099353177,0.9994624657232271,True,0.09422676299870611,0.9138873529829598,-12.45,Low
EA036,MUF_D,33683,1.0842126109610188,0.9999877957551149,True,0.05793570875390304,0.9452370231248334,37.1,N_mid
EA036,TEC,33683,1.740455125731081,0.9999523572668539,True,0.06123186650637989,0.9423011422490001,37.1,N_mid
EA036,fmin,33731,0.17773635528149181,0.9998595884356166,True,0.07993752206901204,0.9259794937804711,37.1,N_mid
EA036,foE,15939,0.10770777129472782,0.9999856508783155,True,0.09254429389936744,0.9152946984244726,37.1,N_mid
EA036,foF1,5221,0.4910118591585264,0.97054423184908,True,0.13608174936475853,0.8802183474553228,37.1,N_mid
EA036,foF2,33683,0.29581749448287464,0.999961554865602,True,0.04747034096028012,0.9546809688981158,37.1,N_mid
EA036,foF2p,33794,0.17275080882207886,0.9999971415205003,True,0.0455686679977905,0.95641733595073,37.1,N_mid
EA036,hmF2,33683,9.309938618887866,0.9999749128541916,True,0.07506679627447596,0.9301747607361592,37.1,N_mid
EA653,MUF_D,46865,0.8598596207190868,0.9998762551019706,True,0.04422949480702297,0.9576438943479596,52.73,N_mid
EA653,TEC,46865,1.1238013442867811,0.9999610251289408,True,0.06317698986058665,0.9405771659252417,52.73,N_mid
EA653,fmin,46865,0.07019118745332338,0.9982674318439188,True,0.10066460479213662,0.9085419805871313,52.73,N_mid
EA653,foE,20759,0.07745538079868973,0.9999741181909889,True,0.07799911879368267,0.9276445430855581,52.73,N_mid
EA653,foF1,12657,0.2025437504937979,0.9985196579338443,True,0.10349577217448468,0.9062109934770824,52.73,N_mid
EA653,foF2,46865,0.23910503040648673,0.9998521237236271,True,0.04522384010788397,0.9567328658488922,52.73,N_mid
EA653,foF2p,47127,0.06998374074309843,0.999998849050913,True,0.03244387421726382,0.9685756533333486,52.73,N_mid
EA653,hmF2,46865,10.118951509655394,0.9999855402735022,True,0.0924027027950108,0.9154133337837868,52.73,N_mid
EB040,MUF_D,69120,1.069190540994941,0.999974567563893,True,0.06380659633568847,0.9400204919244983,40.8,N_mid
EB040,TEC,69121,1.312724101955088,0.9999631832838136,True,0.05131696619199876,0.9511879215857466,40.8,N_mid
EB040,fmin,69121,0.19955817060494005,0.9996503143870191,True,0.11813250870506307,0.8943483819803475,40.8,N_mid
EB040,foE,32221,0.09345187995375374,0.9999683649616191,True,0.09648624532783723,0.9120041443848765,40.8,N_mid
EB040,foF1,15383,0.22590823470447083,0.9945522498797806,True,0.10981138680950954,0.9010540096140157,40.8,N_mid
EB040,foF2,69121,0.2677802421321985,0.9999664302341327,True,0.049966053551145556,0.9524117438062377,40.8,N_mid
EB040,foF2p,69432,0.0892010600079754,0.9999964142498355,True,0.03627971297099821,0.9649904243836012,40.8,N_mid
EB040,hmF2,69121,8.795406046787935,0.9999415305552216,True,0.09262959272440537,0.9152232436855027,40.8,N_mid
EG931,MUF_D,54216,0.9445224664613153,0.9999388317310086,True,0.05981472872317701,0.9435611460172484,30.5,N_mid
EG931,TEC,54217,1.6386348685221732,0.9999585541611749,True,0.08361052085515346,0.922840800042094,30.5,N_mid
EG931,fmin,54217,0.1516042708006714,0.9991642583005941,True,0.05155824490288029,0.9509696727187547,30.5,N_mid
EG931,foE,22169,0.09226453606387297,0.9999564064624555,True,0.10491125208498567,0.9050500645305073,30.5,N_mid
EG931,foF1,10917,0.19030296784830997,0.9890517740881858,True,0.11500476621876547,0.8968571528095143,30.5,N_mid
EG931,foF2,54217,0.2615501779884538,0.9999614175818423,True,0.054391634040593655,0.9484142018159264,30.5,N_mid
EG931,foF2p,56234,0.11791353985133549,0.999993919666466,True,0.04338046973860136,0.9584231533972747,30.5,N_mid
EG931,hmF2,54217,8.525066092431032,0.9999286869848486,True,0.09468231796979024,0.9135070363195515,30.5,N_mid
FF051,MUF_D,51473,0.8640982035889366,0.9999468432325331,True,0.044229406382894514,0.9576439754401279,51.7,N_mid
FF051,TEC,51474,1.1741392094390695,0.9999584021526432,True,0.05952717690799035,0.9438172250741995,51.7,N_mid
FF051,fmin,51475,0.07485768172251903,0.9698834403598926,True,0.08008516985739811,0.9258529122587882,51.7,N_mid
FF051,foE,24351,0.07124846002217568,0.9999855688399842,True,0.07880643643377458,0.9269503464455717,51.7,N_mid
FF051,foF1,12197,0.22619066163810772,0.9892826210860899,True,0.11163717210231856,0.899574092245232,51.7,N_mid
FF051,foF2,51474,0.22681686547253627,0.999944256666179,True,0.04105461922262384,0.9605643945432181,51.7,N_mid
FF051,foF2p,51703,0.0718520201922519,0.999999225774955,True,0.03624639384888354,0.9650214523649582,51.7,N_mid
FF051,hmF2,51474,9.536249530507312,0.99996752438711,True,0.0873962008219825,0.9196280060975769,51.7,N_mid
GM037,MUF_D,36116,1.1586663974393796,0.999976209223756,True,0.05947568589431904,0.9438630950326012,37.9,N_mid
GM037,TEC,36121,1.4435913854823905,0.9999730983254196,True,0.053360318497866446,0.9493427675593853,37.9,N_mid
GM037,fmin,36160,0.09441118762858945,0.9993625827000102,True,0.10937363238556787,0.9014095619431898,37.9,N_mid
GM037,foE,30450,0.2123046907585208,0.9999105998833573,True,0.07419579623807798,0.9309289828745209,37.9,N_mid
GM037,foF1,9066,0.23790106268924105,0.9855948669922499,True,0.1294931889375953,0.8853528377099849,37.9,N_mid
GM037,foF2,50059,0.2890392234467136,0.9999642193543208,True,0.047223626792707946,0.9549058810510818,37.9,N_mid
GM037,foF2p,36251,0.1426152046799822,0.9999995088743067,True,0.028354738565878522,0.9724270842516646,37.9,N_mid
GM037,hmF2,36121,9.702193601342504,0.9997645892020662,True,0.08810207948814915,0.9190314207196507,37.9,N_mid
GR13L,MUF_D,45083,0.9656695724182803,0.9999693561434596,True,0.03900628599748561,0.9624580846880652,-33.3,S_mid
GR13L,TEC,45083,1.3527965086618015,0.9999846745188693,True,0.04735589203054346,0.9547852908539685,-33.3,S_mid
GR13L,fmin,45083,0.18008807828523685,0.9994909593064215,True,0.08955495306667897,0.9178059327667538,-33.3,S_mid
GR13L,foE,19853,0.08539949881629981,0.999918693209571,True,0.08163062723963768,0.9245300334662655,-33.3,S_mid
GR13L,foF1,8464,0.1904163220699433,0.9851309378678046,True,0.1139275777267972,0.8977244302010277,-33.3,S_mid
GR13L,foF2,45083,0.2576941751879866,0.9999679131682025,True,0.033725460031104354,0.9673748385474713,-33.3,S_mid
GR13L,foF2p,45414,0.12737095572584078,0.9999899021322285,True,0.025217933887056038,0.9754023675810629,-33.3,S_mid
GR13L,hmF2,45083,8.239407592662424,0.9999445283787443,True,0.08632117746099743,0.9205380699078781,-33.3,S_mid
HO54K,MUF_D,44321,0.7696587904153788,0.9999356943777623,True,0.06077333599598112,0.9427084618987713,-42.92,S_mid
HO54K,fmin,67745,0.05791485841513518,0.9996098342701292,True,0.12986496944262105,0.8850615135836228,-42.92,S_mid
HO54K,foE,20858,0.08566129702432321,0.9999394795877908,True,0.07081986190228222,0.9338638883887784,-42.92,S_mid
HO54K,foF1,15123,0.16107879278802706,0.9891154557650645,True,0.12310722797808069,0.8903869328668559,-42.92,S_mid
HO54K,foF2,64784,0.23014216151621802,0.9999918098696283,True,0.047418986362688424,0.9547277765821702,-42.92,S_mid
HO54K,hmF2,50736,10.124860059918007,0.9997539976272422,True,0.1132978554195798,0.898232216232124,-42.92,S_mid
IC437,MUF_D,31876,1.1732460628686159,0.9999771554078498,True,0.06666383233618446,0.9375024911173947,37.14,N_mid
IC437,TEC,31879,1.550612080052699,0.9999292490313875,True,0.07137400536514642,0.9333808688583772,37.14,N_mid
IC437,fmin,31882,0.18341301518097988,0.9985574978611124,True,0.12354137144041036,0.8900428817480687,37.14,N_mid
IC437,foE,14539,0.09703813879909211,0.9998827419126539,True,0.10648220929091602,0.9037650959077284,37.14,N_mid
IC437,foF1,4532,0.17012135922330096,0.9878072274876698,True,0.07133299399679051,0.933416599323922,37.14,N_mid
IC437,foF2,31879,0.32373990322783025,0.9999589675577548,True,0.060008340343777986,0.9433888035972281,37.14,N_mid
IC437,foF2p,32093,0.10240815754214315,0.9999995213245955,True,0.03127523006120883,0.9696732461426881,37.14,N_mid
IC437,hmF2,31879,9.584658003701497,0.9999684758264985,True,0.1015403098691711,0.907819705770703,37.14,N_mid
JB57N,TEC,20458,2.598762461651979,0.9999233736545271,True,0.12255021269694251,0.8908287475154328,-74.62,S_mid
JB57N,fmin,20486,0.09757627508681886,0.9998800265995539,True,0.0633967440437809,0.9403827927827747,-74.62,S_mid
JB57N,foE,11227,0.16228116795395453,0.9989732740774785,True,0.08689834647994732,0.9200492421748748,-74.62,S_mid
JB57N,foF2,20290,0.3068914773874064,0.9999720785498063,True,0.10026512526696796,0.9088718500982755,-74.62,S_mid
JB57N,hmF2,20290,21.160215415170505,0.9991440469774703,True,0.17924145867030783,0.8480027501132658,-74.62,S_mid
JJ433,MUF_D,65058,1.188808678410034,0.9999860280478505,True,0.05236170114510101,0.9502436271786355,33.43,N_mid
JJ433,TEC,65060,1.7013679680295113,0.9999507218497828,True,0.05886172023582846,0.9444103804010228,33.43,N_mid
JJ433,fmin,65062,0.17290832206203316,0.998298346210985,True,0.11564627435756224,0.8963414506769574,33.43,N_mid
JJ433,foE,30367,0.0956004050449501,0.9999639500988041,True,0.09653346260535423,0.9119648730317892,33.43,N_mid
JJ433,foF1,10008,0.19392885691446843,0.9934217799840551,True,0.07410642637316897,0.9310064398149102,33.43,N_mid
JJ433,foF2,65060,0.3299146806793729,0.9999738797264907,True,0.04862757036251759,0.9536274157414087,33.43,N_mid
JJ433,foF2p,65398,0.12201690036392548,0.999998924682931,True,0.031355815143982224,0.9695974806331947,33.43,N_mid
JJ433,hmF2,65060,9.621847909621888,0.999833406123426,True,0.09703988700592571,0.9115438844518499,33.43,N_mid
JR055,MUF_D,66646,0.8552051415886894,0.9999327441235695,True,0.040029674323645875,0.9615110267409648,54.6,N_mid
JR055,TEC,66646,1.0780800264074204,0.9999587459422471,True,0.0498877802898801,0.9524827498457923,54.6,N_mid
JR055,fmin,66646,0.1112347110592129,0.9994984023208183,True,0.14622759537637134,0.8724270851912647,54.6,N_mid
JR055,foE,36577,0.08911058934731599,0.9999795017240551,True,0.058759045083765386,0.9445019663760071,54.6,N_mid
JR055,foF1,19302,0.20303501006873714,0.9993416705033552,True,0.07463156656305113,0.9305514849133438,54.6,N_mid
JR055,foF2,66646,0.23006364459008766,0.9999338580730248,True,0.03762293814957558,0.9637412235540304,54.6,N_mid
JR055,foF2p,66828,0.07791563109582504,0.9999999241878774,True,0.02198744793843979,0.978485598837057,54.6,N_mid
JR055,hmF2,66646,8.612041921690363,0.9999375298128114,True,0.0890785262730291,0.9182074348873008,54.6,N_mid
LL721,MUF_D,63107,1.5096332247875301,0.999997132020938,True,0.0651262941669567,0.9388558009283842,21.43,Low
LL721,TEC,63110,2.8915781967992396,0.9999682718145029,True,0.08518455573639548,0.9215022409910818,21.43,Low
LL721,fmin,63110,0.18102885834257645,0.9994420206496613,True,0.07650532681900228,0.9289317712481087,21.43,Low
LL721,foE,23965,0.10799121983448084,0.9999169923355182,True,0.10923305781145395,0.9015237987705004,21.43,Low
LL721,foF1,8930,0.19019596864501678,0.9905746189940682,True,0.06967833101513399,0.9348604818899072,21.43,Low
LL721,foF2,63110,0.5171242869592774,0.9999928047485218,True,0.06746421939491895,0.9367995496531394,21.43,Low
LL721,foF2p,63618,0.17829920384168002,0.9999986685368022,True,0.039555303929995386,0.9619497839312077,21.43,Low
LL721,hmF2,63110,11.341249009665663,0.9984135575415217,True,0.11808308403596976,0.8943879164956843,21.43,Low
LM42B,MUF_D,37588,1.0172460936114363,0.9999778369522279,True,0.06167627655853779,0.9419067017693344,-21.8,Low
LM42B,TEC,37588,1.5342435307367601,0.9999780266434863,True,0.05974767468833481,0.9436208485138633,-21.8,Low
LM42B,fmin,37588,0.21292702014827428,0.999271255773942,True,0.07387031178742841,0.9312111425592228,-21.8,Low
LM42B,foE,13147,0.11516220430516469,0.9997733537839468,True,0.14352758230787596,0.8744869957415391,-21.8,Low
LM42B,foF1,4208,0.16086769249049432,0.9917484086171527,True,0.071102741193207,0.9336172540143081,-21.8,Low
LM42B,foF2,37588,0.28233038691426343,0.99996873756428,True,0.058392818237410736,0.9448287845200471,-21.8,Low
LM42B,foF2p,37821,0.10939027480323985,0.9999987229949108,True,0.031923741310842225,0.9690638561428098,-21.8,Low
LM42B,hmF2,37588,8.903824247986947,0.9998097902440136,True,0.10177564471303006,0.9076257991348695,-21.8,Low
MHJ45,MUF_D,61429,0.8963894316338104,0.9999878634127076,True,0.04664394400667193,0.9554347547952997,42.6,N_mid
MHJ45,TEC,61431,1.524321935721921,0.9999779159989796,True,0.06999137216058507,0.9345869752021881,42.6,N_mid
MHJ45,fmin,61431,0.12649026278806036,0.999869137424976,True,0.07375662262036425,0.9313097390353032,42.6,N_mid
MHJ45,foE,25878,0.08544501925702656,0.9999811278948532,True,0.08261019484098917,0.9236934999922823,42.6,N_mid
MHJ45,foF1,14220,0.2396207659399906,0.9889979739199591,True,0.09876112974683712,0.9101159232220087,42.6,N_mid
MHJ45,foF2,61431,0.26812433814632136,0.9999849208025356,True,0.044309248032992576,0.9575707596993408,42.6,N_mid
MHJ45,foF2p,62265,0.09674428517893949,0.99999768621721,True,0.039343270742971524,0.9621460283137764,42.6,N_mid
MHJ45,hmF2,61431,9.490330343529056,0.9999820760397041,True,0.10179123396944136,0.907612957127353,42.6,N_mid
ND61R,MUF_D,53436,1.1846261030329117,0.9999738094576667,True,0.0575335884385422,0.9455964433966669,-19.07,Low
ND61R,fmin,67277,0.11943845965188696,0.9999800059765542,True,0.05484946017209703,0.948002570752467,-19.07,Low
ND61R,foE,24350,0.0987658110882957,0.9999581783119873,True,0.08583718952485464,0.9209483794136618,-19.07,Low
ND61R,foF1,15954,0.18938642607914422,0.9825482974001442,True,0.11499594168998524,0.8968642508997052,-19.07,Low
ND61R,foF2,65530,0.3612032270842871,0.9999934108006425,True,0.05345480297529555,0.9492576209018917,-19.07,Low
ND61R,hmF2,60842,9.199370555427718,0.9994871573510508,True,0.09343775341351473,0.9145468014783475,-19.07,Low
NI135,MUF_D,51646,1.1785630800707378,0.999986587698175,True,0.06017950188742711,0.9432364974230399,35.03,N_mid
NI135,TEC,51649,1.4714382175840772,0.9999693940429467,True,0.05760215855755101,0.9455351352193591,35.03,N_mid
NI135,fmin,51649,0.17275531310706244,0.9998604217429543,True,0.10726244237310305,0.9031282573413975,35.03,N_mid
NI135,foE,23534,0.11474653692529957,0.9999109625177233,True,0.09465390036344788,0.9135307512885846,35.03,N_mid
NI135,foF1,7757,0.27122760087662756,0.9779650481414567,True,0.07333945256780358,0.9316717070332691,35.03,N_mid
NI135,foF2,51649,0.35332793471316004,0.9999788518282192,True,0.062099835415573124,0.9415310751919334,35.03,N_mid
NI135,foF2p,52075,0.12294526324211875,0.999992422637643,True,0.036050122090461593,0.9652042682860531,35.03,N_mid
NI135,hmF2,51649,9.269338144655915,0.9998117938131189,True,0.1178192629515208,0.8945990046365566,35.03,N_mid
NI63,MUF_D,54214,0.8751466376305014,0.9999803806453378,True,0.06143406368943087,0.9421216392133746,-29.03,Low
NI63,fmin,68971,0.08366656517473527,0.999822061870921,True,0.10188894306685191,0.9075324752935012,-29.03,Low
NI63,foE,26691,0.08885286238807089,0.9999315718497008,True,0.08400317588187145,0.9225065223507929,-29.03,Low
NI63,foF1,16449,0.18330100360710885,0.9905201425404597,True,0.13293584014047144,0.882662516772363,-29.03,Low
NI63,foF2,68161,0.24568554561992928,0.9999569737561085,True,0.054267572264651766,0.9485258072122236,-29.03,Low
NI63,hmF2,64403,9.015374419669891,0.9999527893716315,True,0.08760859928527855,0.9194484124685566,-29.03,Low
PA836,MUF_D,49831,1.041858035158837,0.9999538353467975,True,0.051916007066832914,0.9506462429337911,34.7,N_mid
PA836,TEC,49831,1.341935993658566,0.999940505797992,True,0.05106803367127354,0.951413198731867,34.7,N_mid
PA836,fmin,49831,0.09349834942104313,0.9942878540833054,True,0.10442214341274612,0.9054508785109342,34.7,N_mid
PA836,foE,24074,0.09364502852316468,0.9999653410347389,True,0.10003353215111169,0.9090631974140857,34.7,N_mid
PA836,foF1,9701,0.17005076796206575,0.9924995380180696,True,0.08475995550104547,0.9218629383660322,34.7,N_mid
PA836,foF2,49831,0.274817430414802,0.9999478325217998,True,0.045837861849490465,0.9561711585307979,34.7,N_mid
PA836,foF2p,50048,0.10026964114450128,0.9999965307736162,True,0.03054689165305602,0.9703585621377625,34.7,N_mid
PA836,hmF2,49831,8.56629867284756,0.9998847201492908,True,0.08605011283807064,0.9207678247800148,34.7,N_mid
PE43K,MUF_D,51669,0.7054290217538562,0.9999650506688523,True,0.04600185165276695,0.956021252180309,-31.94,S_mid
PE43K,fmin,69191,0.07188708430287176,0.999893164610388,True,0.08056156198618654,0.925444727241541,-31.94,S_mid
PE43K,foE,28933,0.08758453726425419,0.9999668084152306,True,0.07486392302532378,0.9303503248907908,-31.94,S_mid
